,input,target
45610,sing !,were you tempted ?
45611,how are you doing .,hey sisters . are you going in there ?
45612,hey sisters . are you going in there ?,you know it .
45613,what ?,you can handle this .
45614,okay christy strip .,what ?
45615,what did who say ?,who ? the other woman . your wife .
45616,you are so damn sexy .,vince . . .
45617,no . . . it s fine .,yes ?
45618,yes ?,thanks . a lot .
45619,babe what happened here ? look at you .,good evening vincent .
45620,oh girls .,yes betty ?
45621,yes betty ?,this prom is a real drag .
45622,this prom is a real drag .,oh huh .
45623,oh huh .,oh my !
45624,oh my !,what is it betty ?
45625,yes betty ?,he s so fine .
45626,he s so fine .,d lang doo lang d lang .
45627,just about . show me again .,you betcha .
45628,that machine .,i know . it s ancient .
45629,what is it mary ?,that man who is he ?
45630,hurry sister !,get moving . i m right behind you .
45631,what a shame !,but then came an angel who whispered these words
45632,but then came an angel who whispered these words,pay attention . . .
45633,pay attention . . .,sing and the devil will flee !
45634,sing and the devil will flee !,were you wicked ?
45635,wet behind the ears .,a bunch of real mama s girls .
45636,it ll be hell .,tell me about it .
45637,hopeless i,amateurs
45638,amateurs,babies
45639,babies,again !
45640,she s a pro .,what ?
45641,van cartier .,you know ? about me ? about everything ?
45642,just sing !,sing !
45643,come on we re late .,what ? what time is it ?
45644,what ?,i . . . i brought you something .
45645,i . . . i brought you something .,a cigarette ?
45646,three years . sister .,three years . a rookie .
45647,mary clarence !,now you .
45648,experience ! right ?,right .
45649,i m getting experience .,you watch yourself !
45650,mary clarence !,keep moving !
45651,goddamn it !,mary clarence !
45652,oh my lord !,experience !
45653,are you leaving us ?,oh no . we ll always be together .
45654,run ! take off !,again ?
45655,mary clarence !,bless you .
45656,don t you know it !,but the lord came to me
45657,but the lord came to me,what did he say ?
45658,what did he say ?,he said sing the devil away !
45659,your name ?,christy . christy van cartier .
45660,christy . christy van cartier .,enough joking .
45661,sit down .,what ?
45662,miss van cartier .,what ?
45663,what ?,your cigarette out .
45664,it has come to pass .,what ?
45665,are you talking about me ?,and all those like you .
45666,and all those like you .,you mean black people ?
45667,no problem .,the vow of obedience .
45668,the vow of obedience .,like to who ?
45669,silence ? no talking ? all day ?,until sundown .
45670,no food ?,no food . not until sundown .
45671,is this all the food i get ?,yes . until breakfast .
45672,this shall be your cell mary clarence .,my what ?
45673,my what ?,your cell . your room .
45674,i got it .,come sister .
45675,mary clarence perhaps you are correct .,i am ?
45676,you sent for me ?,you have a phone call .
45677,really . well that makes two of us .,what ?
45678,but . . .,good day .
45679,what are you doing here ?,saving you . move !
45680,reverend mother thank you .,oh ?
45681,oh ?,you saved my life .
45682,you saved my life .,i m a christian .
45683,he didn t do you a favor .,screw you !
45684,and if i don t ?,then you run .
45685,okay no limo .,no nothing .
45686,really ? lieutenant ?,i ve been worried about you .
45687,you mean worried about my testimony ?,no worried about you . personally .
45688,me too .,you re not . . . seeing anybody ?
45689,vince knows you re here .,how ?
45690,i can t go with you .,what ?
45691,what re you doing ?,even nuns have to pee .
45692,really .,but wait .
45693,then one day they find you .,they open a window .
45694,where s who ?,you won t even tell us ?
45695,you won t even tell us ?,i wouldn t even tell the pope .
45696,but you didn t tell me !,we didn t tell you what ?
45697,a nun ?,i m telling you !
45698,vince is she . . . okay ?,maybe .
45699,and if she runs ?,take care of it .
45700,it s done ?,not . . . totally .
45701,not . . . totally .,what s the problem ?
45702,well ?,it didn t work vince .
45703,right .,so take it off .
45704,get her !,which one !
45705,there she is !,which one ?
45706,i can t see anything in here !,willy hit the lights .
45707,joey ?,where is she ?
45708,you didn t shoot !,neither did you !
45709,what s she doing ?,she s praying .
45710,it should be here any minute .,dress rehearsal at four performance at . sharp .
45711,we sound terrible we need mary clarence .,we re losing it .
45712,sister mary patrick ?,yes ?
45713,peace on earth .,however we can also pray for other things .
45714,is this like your old convent ?,which convent was that sister ?
45715,he s not like other guys .,he s decent .
45716,he s decent .,he s kind .
45717,i d rather sing than do anything !,it s better than ice cream .
45718,but reverend mother everyone loves our new style .,it s brought people back to the church .
45719,you mean they kidnapped her ?,yes two men and they had guns .
45720,the little sisters of the moonlight !,but how do we get there ?
45721,mary clarence you re alive !,christy .
45722,not a note .,impossible .
45723,las vegas she s here somewhere .,but where ?
45724,reverend mother ?,yes ?
45725,i lied .,i know .
45726,it s that call you were expecting vince .,can you hold ? can you try ?
45727,where ?,find em !
45728,they spend two days in chains .,two days . . . ? for murder ?
45729,you must have missed your mark .,i hit him square .
45730,why did you move the body doctor ?,to place it inside its coffin .
45731,no bleeding .,what is that ?
45732,we must be a curious sight to him .,what are you spying on ?
45733,you need to sleep .,bring him .
45734,bring him .,you need rest .
45735,protest to my superiors if you like .,your superiors are two days away !
45736,hmm ? see them ?,may we look at them now ?
45737,maybe you should take this .,a fine idea .
45738,i shall gladly .,excellent . then you are excused till morning .
45739,where are we going ?,up .
45740,out there . what do you see ?,the western woods .
45741,the western woods .,look again .
45742,father said witches live there .,witches do not exist . however . . .
45743,what is it ?,listen .
45744,listen .,i hear nothing .
45745,we are leaving .,what happened ?
45746,what is it ?,stay back .
45747,we should go .,why this tree ?
45748,man or woman ?,all i saw was their lantern .
45749,all i saw was their lantern .,business best hidden is hidden best at night .
45750,i was getting worried . who was it ?,lady van tassel .
45751,lady van tassel .,what was she doing ?
45752,climb up !,lady van tassel . . .
45753,lady van tassel . . .,i know . hold on .
45754,what now ?,i doubt that s the end .
45755,how are you ?,tired .
45756,other people ?,small talk .
45757,thank you . no . here . . .,i insist that you have it .
45758,people have put their trust in you .,they have done nothing of the sort .
45759,what ?,she is not your birth mother is she ?
45760,it is only me .,katrina . why do you follow ?
45761,katrina . why do you follow ?,i apologize if i worried you .
45762,blood .,what did you say ?
45763,what are you doing ?,just . . . keep where you are .
45764,the skull is gone .,yes . i did notice that thank you .
45765,what is so urgent ?,come with me .
45766,where are we going ?,i do not know . away .
45767,the church .,he moves too fast .
45768,what was that ?,his horse .
45769,ichabod . . .,keep climbing . i will follow . . .
45770,yes actually .,use caution .
45771,no . she has gone out .,where ?
45772,i know you saw me .,what . . . ?
45773,you cannot kill what is already dead .,let her go !
45774,there was not much blood was there ?,i didn t see none .
45775,van ripper turn the coach about !,what did you say ?
45776,what did you say ?,turn around . now !
45777,you are from the hollow ?,in a way yes .
45778,what . . . what are you doing ?,close your mouth ! keep silent .
45779,lay still ichabod . do not move .,doctor he is awake .
45780,go home .,may i see my mother ?
45781,she has confessed .,no .
45782,yeah they s good all right .,you got any money ?
45783,how bout you jerry .,how are you bill ?
45784,can i see him ?,sure .
45785,well what did you want ?,you have any biscuits for sale ?
45786,you have any biscuits for sale ?,naw we don t have biscuits .
45787,did you decide sir ?,what you got that s good to eat ?
45788,what you got that s good to eat ?,well i guess it s all good .
45789,well i guess it s all good .,what do you like to eat here ?
45790,you know what by god ?,what ?
45791,what ?,you know what we ought to do tonight ?
45792,you know what we ought to do tonight ?,please doyle don t .
45793,leave .,don t tell me what to do .
45794,don t tell me what to do .,leave .
45795,leave .,don t tell me what to do .
45796,don t tell me what to do .,leave .
45797,leave .,don t tell me what to do .
45798,don t tell me what to do .,leave .
45799,leave .,don t tell me what to do .
45800,sure i guess .,don t rush ever body honey .
45801,ain t got nowhere to set em down .,don t you live somewhere ?
45802,don t you live somewhere ?,i did live there in the state hospital .
45803,i did live there in the state hospital .,why d you live there ?
45804,they let you out ?,yeah .
45805,yeah .,how come ?
45806,are you well ?,i reckon i feel all right .
45807,yeah it is . your name s frank .,yeah . what you doin by here ?
45808,yeah . what you doin by here ?,you told me to come by .
45809,you told me to come by .,did you want to play ball with us ?
45810,yeah i did .,who did you kill ?
45811,who did you kill ?,two people .
45812,two people .,were they bad people ?
45813,were they bad people ?,i thought they was .
45814,i thought they was .,maybe they needed it .
45815,i reckon it tastes pretty good to me .,i like the way you talk .
45816,i like the way you talk .,i like the way you talk .
45817,hey karl you off work ?,yeah .
45818,yeah .,where d you get them flowers ?
45819,you want to go with me ?,yeah .
45820,what do you mean ?,pull on your works . your privates .
45821,pull on your works . your privates .,oh jackin off ?
45822,why not ? it died ?,yeah .
45823,yeah .,why ?
45824,it was alive ?,yes sir . right then it was .
45825,yes sir . right then it was .,a boy or girl ?
45826,a boy or girl ?,a little ol boy .
45827,you will ? for sure ?,yeah .
45828,no sir .,it was fun anyhow .
45829,yes sir .,i ve got a feelin today .
45830,i ve got a feelin today .,reckon what kind of a feelin ?
45831,hey mama . hey vaughan .,hey sweetheart . what you up to ?
45832,i know he does .,mama ?
45833,mama ?,huh ?
45834,you walk fast don t you ?,i reckon .
45835,i m ye boy .,i ain t got no boy .
45836,you better go get your things .,i ain t got nothing but them books .
45837,i ain t got nothing but them books .,you better go get em .
45838,you better go get em .,all right then .
45839,karl you up ?,yes sir .
45840,yes sir .,well i guess we better hit the road .
45841,yes sir .,do they know about you ?
45842,do they know about you ?,my history .
45843,my history .,yeah .
45844,you scared me .,i didn t aim to .
45845,mustard s good on em to me .,okay .
45846,ma am ?,yeah .
45847,what brings you back ?,what s that you say ?
45848,what s that you say ?,why are you here now ?
45849,why are you here now ?,they turned me loose from the state hospital .
45850,do you have family here ?,not really to speak of .
45851,yes sir .,so you re really going to stay here ?
45852,so you re really going to stay here ?,that boy wants me to .
45853,that boy wants me to .,did you knock on the door yet ?
45854,did you knock on the door yet ?,naw i ain t .
45855,naw i ain t .,how long have you been standing here ?
45856,how long have you been standing here ?,quite a spell i reckon .
45857,i done et just a little bit ago .,i mean tomorrow or the next day .
45858,i reckon not .,homosexual . i like men . sexually .
45859,homosexual . i like men . sexually .,not funny ha ha funny queer .
45860,he just got out of the state hospital .,i know .
45861,vaughan don t get pushy .,i m sorry .
45862,do you smell shit ?,yeah .
45863,no we have to get this story .,i thought you d be happy to leave .
45864,i thought you d be happy to leave .,why won t he talk to women ?
45865,and what s the occasion of this celebration ?,it s my birthday .
45866,will that be cash or charge ?,better make it charge .
45867,that s the subject of my last chapter .,not an easy book .
45868,and what about for you ?,huh ?
45869,huh ?,what about for you ?
45870,looks like someone forgot a camera .,yeah i did .
45871,yeah i did .,it s yours ?
45872,he s crazy .,no he s not . you are .
45873,hey man how s it going ?,hi auggie .
45874,two right ?,uh better make it one .
45875,uh better make it one .,you usually get two .
45876,so . are we ready ?,ready . any time you are .
45877,ready . any time you are .,i m all ears .
45878,she probably died .,yeah probably .
45879,what do you mean ?,i mean it s a good story .
45880,wait till you see her auggie .,and what s that supposed to mean ?
45881,and what s that supposed to mean ?,she looks just like you .
45882,bully for you .,no bully for you .
45883,five thousand bucks .,and you re giving it to me ?
45884,and you re giving it to me ?,it s all yours baby .
45885,it s all yours baby .,for keeps ?
45886,for keeps ?,for keeps .
45887,open it .,what is this some kind of joke ?
45888,what is this some kind of joke ?,no it s five thousand dollars .
45889,how d you do out there jimmy ?,good auggie . real good . all finished .
45890,good auggie . real good . all finished .,it ll never be finished .
45891,it ll never be finished .,huh ?
45892,is your name paul benjamin ?,what can i do for you ?
45893,i m looking for my nephew thomas .,thomas ? who s thomas ?
45894,and you told your nephew about it ?,i figured he had a right to know .
45895,i figured he had a right to know .,and ?
45896,hi there little brother .,say hi to paul .
45897,yeah ? who is it ?,it s me honey . it s mom .
45898,well ?,well what ?
45899,well what ?,aren t you going to say anything ?
45900,aren t you going to say anything ?,what do you want me to say ?
45901,hey jimmy . you got the time ?,huh ?
45902,huh ?,you still have that watch auggie gave you ?
45903,you still have that watch auggie gave you ?,tick tock tick tock .
45904,tick tock tick tock .,so what s the time ?
45905,so what s the time ?,twelve eleven . twelve twelve . twelve twelve .
45906,i owe you something .,it s okay mister . no big deal .
45907,oh no . momsie and popsie have oodles .,and where do momsie and popsie live ?
45908,and where do momsie and popsie live ?,east seventy fourth street .
45909,east seventy fourth street .,in manhattan ?
45910,in manhattan ?,of course . where else ?
45911,that s where the what comes in .,the what ?
45912,drawing s a good thing .,is that what you do ? draw pictures ?
45913,what time is it ?,eight thirty .
45914,eight thirty .,eight thirty ?
45915,how long have you been here ?,three nights .
45916,i don t know .,is it yours ?
45917,is it yours ?,yeah it might be .
45918,yeah it might be .,here catch .
45919,yeah i picked it up .,and started to run .
45920,and started to run .,and started to run .
45921,and started to run .,good thinking .
45922,well ?,it wasn t my fault .
45923,how do you want that cooked ?,medium rare please .
45924,medium rare please .,fries ?
45925,fries ?,yes please .
45926,yes please .,lettuce and tomato ?
45927,lettuce and tomato ?,yes please .
45928,yes please .,you want another one of these too ?
45929,i don t know .,you don t .
45930,is that your third question ?,it is .
45931,it is .,you done your math right .
45932,your husband returned at what seven o clock ?,closer to eight .
45933,we discussed that . and decided not to .,why not ?
45934,you re implying th . . .,i said . no further questions .
45935,my mom . would be the problem .,why ? we re only talking .
45936,greedy .,he didn t want to lose any more .
45937,you said three minutes .,won t take two .
45938,here now what are you fixin to do ?,have a look . at nothing .
45939,you gonna climb that with one arm ?,you re right . i better use two .
45940,your daddy . was quite a feller .,yes he was .
45941,that s when he fell .,fell .
45942,cigarette ?,i ll take two . one for later .
45943,you always run with the well open ?,i was checking the cables .
45944,you must think i like losing .,i think you like learning .
45945,you want me to say that .,i want you . to tell the truth .
45946,no spare .,no .
45947,i don t think so .,you don t . u think u so .
45948,how u is u your mother in law ?,she s alright nels thanks for asking .
45949,he had no reason to .,carl ever say u he u got one ?
45950,carl ever say u he u got one ?,i can t speak for him .
45951,are these your bags ?,yes . and that one too .
45952,yes . and that one too .,okay doll .
45953,okay doll .,i suppose you want a tip ?
45954,wanna see my driver s license ?,get lost will you ?
45955,i beg your pardon .,all right girls from the top again .
45956,thank you ever so .,you re welcome .
45957,you re welcome .,it s entirely mutual .
45958,a what ?,my suitcase with all my resort clothes .
45959,you re right joe .,of course i am .
45960,no we re not .,we re not ?
45961,yeah where were you ?,with you .
45962,with you .,with me ?
45963,nellie told us about it .,we re not too late are we ?
45964,i think they got me .,they got the bull fiddle .
45965,they got the bull fiddle .,you don t see any blood ?
45966,where are we running joe ?,as far away as possible .
45967,my name is josephine .,and i m daphne .
45968,now you ve done it !,done what ?
45969,you d better go fix it .,you better come help me .
45970,this way daphne .,now you tore the other one .
45971,good night daphne .,good night josephine .
45972,you know the old shell game .,daphne you re bothering us .
45973,and where s he going to be ?,he s going to be ashore with you .
45974,he s going to be ashore with you .,with me ?
45975,with me ?,that s right .
45976,that s right .,oh no ! not tonight josephine !
45977,hi jerry . everything under control ?,have i got things to tell you !
45978,have i got things to tell you !,what happened ?
45979,what happened ?,i m engaged .
45980,i m engaged .,congratulations . who s the lucky girl ?
45981,congratulations . who s the lucky girl ?,i am .
45982,i am .,what ?
45983,you think he s too old for me ?,jerry ! you can t be serious !
45984,jerry there s another problem .,like what ?
45985,like when ?,like right after the ceremony .
45986,like right after the ceremony .,oh .
45987,that s some nerve !,daphne got a proposal tonight .
45988,joe,what ?
45989,shut up and keep packing .,okay joe .
45990,sugar ?,get me room .
45991,get me room .,what do you think you re doing ?
45992,oh !,terribly sorry .
45993,i ll say .,see you around girls .
45994,good night sugar .,good night honey .
45995,good night honey .,honey she called me honey .
45996,if there s anything i can do for you,oh i can think of a million things
45997,and that s one of them .,sssh . sweet sue .
45998,interesting .,anything wrong ?
45999,anything wrong ?,no no .
46000,that s ridiculous .,and your head is hot .
46001,and your head is hot .,that s ridiculous .
46002,that s ridiculous .,and you ve got cold feet .
46003,and you ve got cold feet .,isn t that ridiculous ?
46004,what did you say ?,i m a very sick girl .
46005,i m not that sick .,i have a very low resistance .
46006,you all right ?,i m fine .
46007,i m fine .,how s the bottle ?
46008,how s the bottle ?,half full .
46009,what s the surprise ?,uh uh . not yet .
46010,uh uh . not yet .,when ?
46011,when ?,we better have a drink first .
46012,not you sugar .,i m just going to get some ice .
46013,i ll carry the instruments .,thank you daphne .
46014,i mean your shoulders and your arms,that s from carrying around the bull fiddle .
46015,we don t have to run .,oh yes we do !
46016,josephine,i guess she s not in here .
46017,yeah . this is one for ripley .,do you suppose she went out shopping ?
46018,no !,yes .
46019,you like it ?,i always did .
46020,where did you girls play before ?,oh here and there and around .
46021,yes . for a whole year .,i thought you said three years .
46022,i was it .,what s the big idea ?
46023,it s about the florida job .,the florida job ?
46024,what s wrong with us ?,you re the wrong shape . goodbye .
46025,we could pass for that .,you got to be blonde
46026,and you got to be girls .,we could
46027,just a moment miss may i ?,help yourself .
46028,help yourself .,i am osgood fielding the third .
46029,i am osgood fielding the third .,i am cinderella the second .
46030,me too . bye now .,let me carry one of the instruments .
46031,let me carry one of the instruments .,thank you . aren t you a sweetheart ?
46032,most of the time i slap it .,you must be quite a girl .
46033,you must be quite a girl .,wanna bet ?
46034,why ?,she doesn t approve of girls who smoke .
46035,goodbye mr . fielding .,goodbye ?
46036,goodbye ?,this is where i get off .
46037,this is where i get off .,oh you don t get off that easy .
46038,please . it won t happen again .,no thank you . i ll walk .
46039,who ?,about that roadhouse
46040,daphne . . .,yes osgood ?
46041,yes osgood ?,you re leading again .
46042,you re leading again .,sorry .
46043,pleased to meet you .,come one !
46044,i forgive you .,and i can never have children .
46045,and i can never have children .,we ll adopt some .
46046,i don t like no witnesses .,we won t breathe a word .
46047,we won t breathe a word .,you won t breathe nothing not even air .
46048,what s the job ?,it s three weeks in florida
46049,why ?,because i got some plans
46050,and you ll be in all evening ?,yes joe .
46051,what kind of band is this anyway ?,you got to be under twenty five
46052,on the baltimore and ohio .,oh .
46053,i m not very bright i guess .,i wouldn t say that . careless maybe .
46054,afford it ?,have you ever been with a male band ?
46055,have you ever been with a male band ?,me ?
46056,rough ?,i ll say .
46057,i ll say .,you can t trust those guys .
46058,that so ?,every time !
46059,but you re a girl thank goodness .,yeah .
46060,you re entitled .,maybe you ll meet one too josephine .
46061,i want mine to wear glasses .,glasses ?
46062,what s happened ?,search me . i mean i ll see .
46063,would you mind terribly ?,not at all .
46064,thanks honey .,good night sugar .
46065,oh i m terribly sorry .,my fault .
46066,my fault .,you re not hurt are you ?
46067,you re not hurt are you ?,i don t think so .
46068,i don t think so .,i wish you d make sure .
46069,i wish you d make sure .,why ?
46070,thank you .,who are you ?
46071,who are you ?,now really
46072,haven t i seen you somewhere before ?,not very likely .
46073,not very likely .,are you staying at the hotel ?
46074,are you staying at the hotel ?,not at all .
46075,not at all .,your face is familiar .
46076,i m not interested at all .,well i m not .
46077,well i m not .,that s very interesting .
46078,how s the stock market ?,up up up .
46079,opening of the opera,riding to hounds
46080,riding to hounds,and always the same four hundred .
46081,shell oil ?,please no names . just call me junior .
46082,well i guess i d better go,it s been delightful meeting you both .
46083,it s been delightful meeting you both .,and you will come to hear us tonight ?
46084,and you will come to hear us tonight ?,if it s at all possible
46085,josephine .,oh i didn t hear you come in .
46086,the most wonderful thing happened,what ?
46087,what ?,guess !
46088,anyway you re going to meet him tonight .,i am ?
46089,oh you have an upstairs and a downstairs .,yes that s our hurricane cellar .
46090,it s all right for a bachelor .,what a beautiful fish .
46091,champagne ?,i don t mind if i do .
46092,i don t mind if i do .,down the hatch as we say at sea .
46093,down the hatch as we say at sea .,bon voyage .
46094,you mean we re alone on the boat ?,completely .
46095,what thing ?,they just sort of leave me cold .
46096,see ? nothing .,nothing at all ?
46097,what happened ?,i don t want to bore you .
46098,i don t want to bore you .,oh you couldn t possibly .
46099,what else is there for me ?,is it that hopeless ?
46100,have you ever tried american girls ?,why ?
46101,is that anything ?,thanks just the same .
46102,would you do me a favor ?,what is it ?
46103,anything this time ?,i m afraid not . terribly sorry .
46104,i never knew it could be like this .,thank you .
46105,mineral baths now really !,where did you learn to kiss like that ?
46106,good night .,good morning .
46107,eight hundred and fifty thousand dollars .,let s make it an even million .
46108,that s wonderful . poor josephine .,me ?
46109,good evening sir .,i come to the old lady s funeral .
46110,what ll it be sir ?,booze .
46111,booze .,sorry sir we only serve coffee .
46112,sorry sir we only serve coffee .,coffee ?
46113,who s going to raid a funeral ?,some people got no respect for the dead .
46114,we got different information .,from who ? toothpick charlie maybe ?
46115,from who ? toothpick charlie maybe ?,toothpick charlie ? never heard of him .
46116,you shave with your spats on ?,i sleep with my spats on .
46117,all right charlie this the joint ?,yes sir .
46118,yes sir .,and who runs it ?
46119,and who runs it ?,i already told you .
46120,what for ?,orders from little bonaparte .
46121,perfect . all ginny .,except it s scotch .
46122,i should get going .,are you sure you re okay ?
46123,are you sure you re okay ?,i m fine . i promise .
46124,hey .,hey .
46125,sorry to interrupt . your dad sent me .,what for ?
46126,what for ?,to make sure you re okay .
46127,it was such a long time ago .,still
46128,still,if ed ever found out . . . .
46129,if ed ever found out . . . .,or kat . . . .
46130,does kat know ?,jeffrey told her last night .
46131,jeffrey told her last night .,last night ?
46132,where s nick sleeping ?,why with you .
46133,um just about everyone .,you are taking the piss ?
46134,what s his problem ?,what ?
46135,i didn t deserve her back then .,and you do now ?
46136,nothing .,doesn t look like nothing .
46137,hey .,oh hello .
46138,what ?,nothing nothing .
46139,nothing nothing .,no tell me .
46140,hey man .,sorry can you give us a moment ?
46141,seeing you again . . . .,yeah ?
46142,hi . hey .,kat .
46143,what color are my shoes ?,you have feet ?
46144,i don t know .,what does your gut say ?
46145,what does your gut say ?,you re too good for him .
46146,no count it anyway .,why ?
46147,why ?,i m compulsive and weird ?
46148,what ?,it s cute .
46149,it s cute .,what is ?
46150,have you ever done anything like this before ?,a weekend ?
46151,a weekend ?,a wedding .
46152,how did you know that was me ?,i have a friend at the magazine .
46153,would you grab my shampoo ?,shampoo got it !
46154,yes .,what ? !
46155,i guess so .,what do you think ?
46156,don t stop asking questions okay ?,okay .
46157,it s hard to explain .,show me .
46158,oh cut the crap !,i just hate seeing you so stuck .
46159,yeah . you ?,yeah .
46160,hi .,hi .
46161,i should go .,what ? ! no no . you can t
46162,what s he do anyway ?,therapist .
46163,oh no . he told you .,you knew ?
46164,you knew ?,i m so sorry .
46165,you want me to let him in ?,of course don t be silly .
46166,dad !,hi kiddo .
46167,hi kiddo .,meet nick .
46168,so why d you let him go ?,it s complicated dad .
46169,not yet . . .,. . .but it s getting there .
46170,i always wondered what happened with us .,i haven t thought about that in years .
46171,uh huh . . .,that does it . . .
46172,that does it . . .,thank you miss johnson .
46173,you got a pretty house miss johnson !,i try . . .
46174,here it is right here .,that s where we come from first ?
46175,that s where we come from first ?,that s where we came from first .
46176,nothin . . .,and so you did your job right ?
46177,and so you did your job right ?,yes mam . . .
46178,yes miss johnson . . .,go on . . .
46179,no miss johnson . . .,can you swim ?
46180,can you swim ?,yes mam . . .
46181,but charlie,no ! n o no !
46182,i did look charlie but i,no buts rita !
46183,you would do that wouldn t you ?,you getting the point mrs . boatwright .
46184,it s cold daddy !,here put my jacket over you .
46185,david lee . . .,yes sir . . .
46186,hi daddy . . .,hi to you son . . .
46187,he ll show up one day .,do you think he s dead daddy ?
46188,we goin huntin again daddy ! ?,you bet we is !
46189,goodnight daddy . . .,goodnight to you son . . .
46190,mornin son . . .,mornin daddy . . .
46191,where s everybody ?,they gone to the field . . .
46192,they gone to the field . . .,guess i can t just lay here then .
46193,you know somethin daddy ?,what s that son ?
46194,what s your daddy s name ?,nathan lee morgan . . .
46195,when s that ?,sunday . . .
46196,sunday . . .,do you know my daddy nathan lee morgan ?
46197,miss boatwright,yes david . . .
46198,see you tomorrow miss boatwright .,david !
46199,david !,yes ma am . . . ?
46200,that s right !,where did it come from mama ?
46201,ready to go mama !,tuck that shirt in david lee .
46202,who s winning mama ?,nobody yet it s all tied up .
46203,who is they ?,children come here . . .
46204,bye mama . . .,bye son i won t be gone long .
46205,can i go when the holiday comes ?,you sure can son . . .
46206,what is it david lee ?,listen mama . . .
46207,good night mama . . .,good night . . .
46208,what s that you carryin ?,some books miss johnson gave me .
46209,some books miss johnson gave me .,who s miss johnson ?
46210,who s miss johnson ?,miss johnson is a teacher and . . .
46211,what s wrong with him david ?,it s the heat .
46212,what s wrong nathan ?,he can t get up mama !
46213,be good and be smart little boy .,yes ma m . . .
46214,we brought your laundry miss boatwright .,come in children .
46215,come i ll take you home .,i ll walk . . .
46216,that s one dollar an twenty cents .,i wanta get some things .
46217,hi ya rebecca . . .,tired .
46218,good mornin nathan .,mornin . . .
46219,mornin . . .,you ready to eat ?
46220,you ready to eat ?,i ll wait till after the children .
46221,well let s get to work !,you sure you feel up to it nathan ?
46222,what . . .,behold my glory .
46223,behold my glory .,what . . . are you ?
46224,what . . . are you ?,i am the clitoris .
46225,doggy .,notice that nothing happens . now say montana .
46226,notice that nothing happens . now say montana .,montana .
46227,montana .,good . now pillow .
46228,good . now pillow .,pillow .
46229,why the fuck not ?,eric !
46230,what did you say ? ! ? !,i said
46231,is it cartman s mom ?,very funny !
46232,what ?,i saw him last night !
46233,holy shit cartman ! what was that ? !,how the fuck should i know ! !
46234,cuz dummy they re canadian just like ike !,oh .
46235,dude that movie was fucking sweet !,you bet your fucking ass it was !
46236,what the hell was that ? !,dude they cut out minutes !
46237,hey cartman .,what ?
46238,tell em we ll have pie and punch .,we re not gonna have pie and punch !
46239,you guys ! seriously ! you guys !,what cartman ? !
46240,what cartman ? !,kenny ! i saw kenny again !
46241,mph rmph rm ! !,no you can t kenny !
46242,no you can t kenny !,mph rm rmph ! !
46243,look eric it s your little friends .,what the hell are you guys doing here ?
46244,mom . . .,yes hon ?
46245,you ve got a stupid accent too .,eric that is not appropriate .
46246,kyle ? !,eric ?
46247,ha ! is the pope catholic ?,i don t know .
46248,what s going on chef ?,something big children .
46249,hello there children ! !,hey chef .
46250,oh no it s that kid .,this is the place
46251,may i ?,what ?
46252,uhh . . .,goodnight ike we re all going to bed .
46253,mph mph .,then move out of the way .
46254,mph rmph rm rmph rmph rm !,oh you want out of hell huh ?
46255,aw ma ! !,do as i say kyle !
46256,no . . . the general is right .,mom ! ! !
46257,uhh . . . i don t know .,guess .
46258,guess .,uhh . . . bacon .
46259,uhh . . . bacon .,okay .
46260,shit !,freeze ! !
46261,dude we don t have watches .,sheet . did you bring ze mirror ?
46262,gwpaapa . gwpaapa .,kay .
46263,no ! that s not terrance or phillip !,oh . . . alright back you go .
46264,it s so very cold . . .,we can t leave without you !
46265,we can t leave without you !,it s okay i am done for .
46266,oh my god ! they killed kenny !,you bastards ! !
46267,how can they do this ?,it isn t fair !
46268,dude our moms arrested terrance and phillip !,our moms suck !
46269,dude let s help terrance and phillip ! !,how do we do that ?
46270,this is sweet ! !,totally !
46271,i m so sick of these soldiers .,yeah they suck .
46272,found eight million pages with the word clitoris !,wow !
46273,wow !,i ll just try the first one .
46274,wow a lot of people showed up .,yeah so what do we say ?
46275,yeah so what do we say ?,i thought you had something planned .
46276,i thought you had something planned .,me ? !
46277,oh brother .,did you shut the alarm off cartman ?
46278,what ?,are you sure kenny ?
46279,what about air strikes ?,huh ?
46280,and bill ?,yes ?
46281,yes ?,i m needing lunch .
46282,i m needing lunch .,right away ma am !
46283,silence ! i am satan !,oh .
46284,no it was worse than that . . .,the f word ? !
46285,you d fuck your uncle !,you d fuck your uncle !
46286,good one phillip ! cheers .,cheers terrance !
46287,oh you are such a maroon !,you would know dummy .
46288,what s going on terrance ?,canada is saving us ! !
46289,who s my cream puff ?,i am .
46290,you know i do .,i know .
46291,what did you do today satan ?,you don t care .
46292,don t call me dumb !,i mean cute dumb . now bend over !
46293,hey i m missing the party !,no ! it can t be !
46294,we saw the terrance and phillip movie !,that s nice stan .
46295,did you see that wendy ?,yup .
46296,hi wendy .,hi stan .
46297,nazis ! !,what s the matter wendy ?
46298,what s the matter wendy ?,nothing stan . you wouldn t understand .
46299,wendy ?,stan ? ! you started la resistance ?
46300,stan ! stan are you okay ? !,wendy ?
46301,my friend the clitoris told me .,wow i have a clitoris too .
46302,you don t have watches ?,dude you didn t say anything about watches .
46303,got it .,and ze rope ?
46304,and ze rope ?,check .
46305,oh yeah . . .,oh yeah . . .
46306,oh yeah . . .,oh sara . . .
46307,oh sara . . .,anna . . .
